,0,1,2,3,4,5,6,7,8
140,La La Land,(I) (2016),PG-13,128 min,"
Comedy, Drama, Music            ","369,742",$151.10M,8.1,93        
141,Divergent,(2014),PG-13,139 min,"
Adventure, Mystery, Sci-Fi            ","381,429",$150.95M,6.7,48        
142,We're the Millers,(2013),R,110 min,"
Comedy, Crime            ","352,877",$150.39M,7.0,44        
143,Daddy's Home,(2015),PG-13,96 min,"
Comedy            ","85,888",$150.36M,6.1,42        
144,Neighbors,(I) (2014),R,97 min,"
Comedy            ","251,423",$150.16M,6.3,68        
145,American Hustle,(2013),R,138 min,"
Crime, Drama            ","398,089",$150.12M,7.3,90        
146,Puss in Boots,(2011),PG,90 min,"
Animation, Action, Adventure            ","126,204",$149.26M,6.7,65        
147,Les Misérables,(2012),PG-13,158 min,"
Drama, History, Musical            ","271,200",$148.81M,7.6,63        
148,Megamind,(2010),PG,95 min,"
Animation, Action, Comedy            ","194,465",$148.42M,7.3,63        
149,Little Fockers,(2010),PG-13,98 min,"
Comedy, Romance            ","94,475",$148.38M,5.5,27        
150,Hotel Transylvania,(2012),PG,91 min,"
Animation, Comedy, Family            ","187,613",$148.31M,7.1,47        
151,War for the Planet of the Apes,(2017),PG-13,140 min,"
Action, Adventure, Drama            ","167,645",$146.88M,7.5,82        
152,X: First Class,(2011),PG-13,131 min,"
Action, Adventure, Sci-Fi            ","577,060",$146.41M,7.8,65        
153,The Great Gatsby,(2013),PG-13,143 min,"
Drama, Romance            ","408,953",$144.84M,7.3,55        
154,Rio,(2011),G,96 min,"
Animation, Adventure, Comedy            ","181,807",$143.62M,6.9,63        
155,Kung Fu Panda 3,(2016),PG,95 min,"
Animation, Action, Adventure            ","102,570",$143.53M,7.1,66        
156,The Smurfs,(2011),PG,103 min,"
Animation, Adventure, Comedy            ","73,931",$142.61M,5.5,30        
157,Taken 2,(2012),PG-13,92 min,"
Action, Crime, Thriller            ","261,395",$139.85M,6.3,45        
158,The King's Speech,(2010),R,118 min,"
Biography, Comedy, Drama            ","562,620",$138.80M,8.0,88        
159,21 Jump Street,(2012),R,109 min,"
Action, Comedy, Crime            ","454,660",$138.45M,7.2,69        
160,Split,(IX) (2016),PG-13,117 min,"
Horror, Thriller            ","261,378",$138.29M,7.3,62        
161,The Conjuring,(2013),R,112 min,"
Horror, Mystery, Thriller            ","358,212",$137.40M,7.5,68        
162,Argo,(2012),R,120 min,"
Biography, Drama, Thriller            ","508,669",$136.03M,7.7,86        
163,Ride Along,(2014),PG-13,99 min,"
Action, Comedy, Crime            ","88,537",$134.94M,6.2,41        
164,Identity Thief,(2013),R,111 min,"
Action, Comedy, Crime            ","108,158",$134.51M,5.7,35        
165,Grown Ups 2,(2013),PG-13,101 min,"
Comedy            ","121,415",$133.67M,5.4,19        
166,Alvin and the Chipmunks: Chipwrecked,(2011),G,87 min,"
Animation, Adventure, Comedy            ","26,018",$133.11M,4.4,24        
167,The Wolverine,(2013),PG-13,126 min,"
Action, Adventure, Sci-Fi            ","376,883",$132.56M,6.7,61        
168,Wonder,(I) (2017),PG,113 min,"
Drama, Family            ","72,171",$132.42M,8.0,66        
169,Silver Linings Playbook,(2012),R,122 min,"
Comedy, Drama, Romance            ","592,600",$132.09M,7.8,81        
170,The Last Airbender,(2010),PG,103 min,"
Action, Adventure, Family            ","130,588",$131.56M,4.2,20        
171,Rio 2,(2014),G,101 min,"
Animation, Adventure, Comedy            ","66,969",$131.54M,6.3,49        
172,Insurgent,(2015),PG-13,119 min,"
Action, Adventure, Sci-Fi            ","186,345",$130.18M,6.2,42        
173,The Peanuts Movie,(2015),G,88 min,"
Animation, Adventure, Comedy            ","36,858",$130.18M,7.1,67        
174,Transformers: The Last Knight,(2017),PG-13,154 min,"
Action, Adventure, Sci-Fi            ","96,689",$130.17M,5.2,27        
175,Ghostbusters,(2016),PG-13,116 min,"
Action, Comedy, Fantasy            ","167,192",$128.34M,5.3,60        
176,Kingsman: The Secret Service,(2014),R,129 min,"
Action, Adventure, Comedy            ","504,388",$128.26M,7.7,60        
177,Shutter Island,(2010),R,138 min,"
Mystery, Thriller            ","929,697",$128.01M,8.1,63        
178,Into the Woods,(2014),PG,125 min,"
Adventure, Comedy, Drama            ","116,692",$128.00M,6.0,69        
179,Central Intelligence,(2016),PG-13,107 min,"
Action, Comedy, Crime            ","117,390",$127.44M,6.3,52        
180,Anchorman 2: The Legend Continues,(2013),PG-13,119 min,"
Comedy            ","146,934",$127.35M,6.3,61        
181,Super 8,(2011),PG-13,112 min,"
Mystery, Sci-Fi, Thriller            ","309,753",$127.00M,7.0,72        
182,Lucy,(I) (2014),R,89 min,"
Action, Sci-Fi, Thriller            ","378,432",$126.66M,6.4,61        
183,The Legend of Tarzan,(2016),PG-13,110 min,"
Action, Adventure, Drama            ","137,323",$126.64M,6.3,44        
184,Prometheus,(I) (2012),R,124 min,"
Adventure, Mystery, Sci-Fi            ","517,095",$126.48M,7.0,64        
185,Safe House,(2012),R,115 min,"
Action, Adventure, Crime            ","182,089",$126.37M,6.8,52        
186,Lone Survivor,(2013),R,121 min,"
Action, Biography, Drama            ","233,195",$125.10M,7.5,60        
187,Sully,(2016),PG-13,96 min,"
Biography, Drama            ","176,271",$125.07M,7.5,74        
188,The Vow,(2012),PG-13,104 min,"
Drama, Romance            ","164,764",$125.01M,6.8,43        
