status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
91290503700_10155140315188701,Happy birthday Joseph Gordon-Levitt!,Timeline Photos,photo,https://www.facebook.com/inception/photos/a.416522083700.189514.91290503700/10155140315188701/?type=3,2017-02-17 12:49:14,16742,189,232,15725,920,17,79,1,0
91290503700_10154801180913701,Happy birthday to legendary Leonardo DiCaprio!,Timeline Photos,photo,https://www.facebook.com/inception/photos/a.416522083700.189514.91290503700/10154801180913701/?type=3,2016-11-11 12:00:00,71490,780,1852,66426,4797,219,41,3,4
91290503700_10154381287368701,True inspiration is impossible to fake. Go deep into Inception this week on iTunes. bit.ly/_OwnInception,Timeline Photos,photo,https://www.facebook.com/inception/photos/a.416522083700.189514.91290503700/10154381287368701/?type=3,2016-06-28 20:00:00,1585,98,95,1446,121,17,1,0,0
91290503700_10153689737333701,Join us in wishing Tom Hardy a Happy Birthday!,Inception,photo,https://www.facebook.com/inception/photos/a.416522083700.189514.91290503700/10153245712708701/?type=3,2015-09-15 20:11:33,8953,313,2,8953,0,0,0,0,0
91290503700_10153622923458701,"""The dreamer can always remember the genesis of the idea. True inspiration is impossible to fake.""",Timeline Photos,photo,https://www.facebook.com/inception/photos/a.416522083700.189514.91290503700/10153622923458701/?type=3,2015-08-20 16:58:54,20040,337,1148,20040,0,0,0,0,0
91290503700_10153245713298701,"You mustn't be afraid to dream a little bigger, darling.",Timeline Photos,photo,https://www.facebook.com/inception/photos/a.416522083700.189514.91290503700/10153245712708701/?type=3,2015-03-25 12:45:15,65359,1102,1833,65359,0,0,0,0,0
91290503700_10152106832108701,,Timeline Photos,photo,https://www.facebook.com/inception/photos/a.416522083700.189514.91290503700/10152106832043701/?type=3,2013-12-20 08:40:04,22803,559,234,22803,0,0,0,0,0
91290503700_10152099516133701,,Wall Photos,photo,https://www.facebook.com/inception/photos/a.10152099515973701.1073741825.91290503700/10152099516073701/?type=3,2013-12-16 17:38:08,15720,325,972,15720,0,0,0,0,0
91290503700_10152089354753701,"""If you can steal an idea, why can't you plant one there instead?""",,status,,2013-12-12 14:31:20,21101,451,1116,21101,0,0,0,0,0
91290503700_10152058518503701,,Timeline Photos,photo,https://www.facebook.com/inception/photos/a.416522083700.189514.91290503700/10152058518408701/?type=3,2013-11-29 16:38:10,1291,25,43,1291,0,0,0,0,0
91290503700_10152053548563701,,Timeline Photos,photo,https://www.facebook.com/inception/photos/a.416522083700.189514.91290503700/10152053548503701/?type=3,2013-11-27 14:52:24,44384,779,1349,44384,0,0,0,0,0
91290503700_10152015217823701,"From producer Christopher Nolan, Man of Steel arrives today: http://bit.ly/OrderManofSteel",Timeline Photos,photo,https://www.facebook.com/inception/photos/a.416522083700.189514.91290503700/10152015217598701/?type=3,2013-11-12 17:45:14,3252,89,62,3252,0,0,0,0,0
91290503700_10151764722793701,,The Dark Knight Trilogy,photo,https://www.facebook.com/darkknighttrilogy/photos/a.228878522787.165085.12887942787/10152323582672788/?type=3,2013-07-30 13:59:04,3678,182,117,3678,0,0,0,0,0
91290503700_10151456851748701,Happy Birthday to Ellen Page!,Timeline Photos,photo,https://www.facebook.com/inception/photos/a.416522083700.189514.91290503700/10151456851708701/?type=3,2013-02-21 13:54:48,37930,991,785,37930,0,0,0,0,0
91290503700_10151449852183701,Happy Birthday to Joseph Gordon-Levitt!,Timeline Photos,photo,https://www.facebook.com/inception/photos/a.416522083700.189514.91290503700/10151449852163701/?type=3,2013-02-17 14:44:02,56781,896,1184,56781,0,0,0,0,0
91290503700_156323044516583,,Inception #4 Movie CLIP - Dream a Little Bigger (2010) HD,video,https://www.youtube.com/watch?v=yycyKndEWcA,2013-01-18 13:50:22,2537,200,263,2537,0,0,0,0,0
